Danh mục,Criteria Estimated,Risk Estimated
Đầu tư vàng,5 - 8% (1 năm),5 - 10% (1 năm)
Tài chính bất động sản,8 - 12% (1 năm),10 - 15% (1 năm)
Gửi ngân hàng,1 - 3% (1 năm),1 - 2% (1 năm)
Cổ phiếu top thị trường,8 - 12% (1 năm),10 - 15% (1 năm)
Cổ phiếu không thuộc top,5 - 10% (1 năm),15 - 20% (1 năm)
Trái phiếu doanh nghiệp,5 - 7% (1 năm),8 - 12% (1 năm)
Trái phiếu chính phủ,2 - 4% (1 năm),3 - 5% (1 năm)
Quỹ cổ phiếu,7 - 10% (1 năm),10 - 15% (1 năm)
Quỹ trái phiếu,3 - 5% (1 năm),5 - 8% (1 năm)
Quỹ hỗn hợp cân bằng,5 - 8% (1 năm),8 - 12% (1 năm)
"Crypto (btc / eth)",10 - 20% (1 năm),25 - 40% (1 năm)
Alt coin,15 - 25% (1 năm),30 - 50% (1 năm)
Meme coin,20 - 50% (1 năm),40 - 60% (1 năm)
Shit coin,30 - 100% (1 năm),50 - 80% (1 năm)
Quỹ đầu tư bất động sản (reits),6 - 9% (1 năm),10 - 15% (1 năm)
Chứng chỉ tiền gửi (cds),1 - 2% (1 năm),1 - 2% (1 năm)
Hợp đồng tương lai,5 - 15% (1 năm),15 - 30% (1 năm)
Hợp đồng quyền chọn,10 - 30% (1 năm),20 - 50% (1 năm)
Vốn đầu tư mạo hiểm,15 - 25% (1 năm),30 - 60% (1 năm)
Đầu tư công nghệ tài chính (fintech),10 - 20% (1 năm),15 - 25% (1 năm)
Etf ngành công nghệ,10 - 15% (1 năm),12 - 18% (1 năm)
Etf ngành năng lượng,5 - 10% (1 năm),10 - 15% (1 năm)
Etf ngành y tế,8 - 12% (1 năm),8 - 15% (1 năm)
Etf ngành tài chính,6 - 10% (1 năm),8 - 12% (1 năm)
Etf theo chỉ số s&p 500,8 - 12% (1 năm),12 - 18% (1 năm)
Etf theo chỉ số vn30,6 - 9% (1 năm),10 - 15% (1 năm)
Etf bất động sản toàn cầu,6 - 10% (1 năm),10 - 20% (1 năm)
Etf trái phiếu toàn cầu,7 - 12% (1 năm),8 - 15% (1 năm)
"Etf hàng hóa (vàng, dầu)",10 - 15% (1 năm),15 - 25% (1 năm)
Etf crypto,15 - 30% (1 năm),30 - 50% (1 năm)
Quỹ phòng hộ (hedge fund),8 - 15% (1 năm),15 - 30% (1 năm)
Quỹ tài sản thay thế,6 - 12% (1 năm),10 - 20% (1 năm)
Quỹ hàng hóa,5 - 10% (1 năm),10 - 18% (1 năm)
Quỹ tư nhân,12 - 18% (1 năm),12 - 20% (1 năm)
Đầu tư startup,8 - 15% (1 năm),15 - 30% (1 năm)
Đầu tư nông nghiệp,5 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư lâm nghiệp,5 - 8% (1 năm),10 - 15% (1 năm)
Đầu tư thủy sản,6 - 12% (1 năm),12 - 18% (1 năm)
Đầu tư năng lượng tái tạo,8 - 20% (1 năm),20 - 30% (1 năm)
Đầu tư điện mặt trời,10 - 20% (1 năm),20 - 30% (1 năm)
Đầu tư điện gió,10 - 18% (1 năm),15 - 25% (1 năm)
Đầu tư điện hạt nhân,15 - 30% (1 năm),20 - 35% (1 năm)
Đầu tư công nghệ ai,12 - 25% (1 năm),20 - 40% (1 năm)
Đầu tư công nghệ blockchain,20 - 50% (1 năm),25 - 50% (1 năm)
Đầu tư công nghệ sinh học,10 - 20% (1 năm),12 - 25% (1 năm)
Đầu tư công nghệ thông tin,8 - 18% (1 năm),10 - 20% (1 năm)
Đầu tư ngành logistics,6 - 10% (1 năm),15 - 25% (1 năm)
Đầu tư ngành hàng không,7 - 15% (1 năm),15 - 25% (1 năm)
Đầu tư ngành ô tô,5 - 12% (1 năm),15 - 30% (1 năm)
Đầu tư ngành dịch vụ du lịch,8 - 18% (1 năm),15 - 25% (1 năm)
Đầu tư ngành sản xuất thực phẩm,6 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư ngành dược phẩm,8 - 15% (1 năm),15 - 25% (1 năm)
Đầu tư ngành công nghiệp nặng,8 - 12% (1 năm),20 - 30% (1 năm)
Đầu tư bất động sản nghỉ dưỡng,10 - 20% (1 năm),20 - 30% (1 năm)
Đầu tư bất động sản công nghiệp,7 - 15% (1 năm),15 - 25% (1 năm)
Đầu tư bất động sản thương mại,6 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư bất động sản nhà ở,10 - 20% (1 năm),15 - 25% (1 năm)
Đầu tư đất nông nghiệp,8 - 15% (1 năm),10 - 15% (1 năm)
Đầu tư nhà phố,7 - 14% (1 năm),10 - 15% (1 năm)
Đầu tư biệt thự,5 - 10% (1 năm),15 - 25% (1 năm)
Đầu tư căn hộ cao cấp,7 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư căn hộ cho thuê,6 - 12% (1 năm),10 - 20% (1 năm)
Đầu tư nhà xưởng,8 - 15% (1 năm),15 - 30% (1 năm)
Đầu tư cổ phiếu tăng trưởng,8 - 15% (1 năm),12 - 20% (1 năm)
Đầu tư cổ phiếu giá trị,5 - 10% (1 năm),15 - 25% (1 năm)
Đầu tư cổ phiếu cổ tức cao,6 - 10% (1 năm),12 - 20% (1 năm)
Đầu tư cổ phiếu penny stock,20 - 50% (1 năm),30 - 50% (1 năm)
Đầu tư cổ phiếu blue-chip,12 - 20% (1 năm),15 - 25% (1 năm)
Đầu tư cổ phiếu ngành tài chính,10 - 15% (1 năm),12 - 18% (1 năm)
Đầu tư cổ phiếu ngành năng lượng,8 - 12% (1 năm),12 - 18% (1 năm)
Đầu tư cổ phiếu ngành bất động sản,6 - 12% (1 năm),10 - 15% (1 năm)
Đầu tư cổ phiếu ngành công nghệ,7 - 15% (1 năm),15 - 25% (1 năm)
Đầu tư cổ phiếu ngành tiêu dùng,5 - 10% (1 năm),12 - 20% (1 năm)
Đầu tư quỹ thị trường mới nổi,8 - 15% (1 năm),15 - 25% (1 năm)
Đầu tư quỹ thị trường phát triển,6 - 12% (1 năm),10 - 20% (1 năm)
Đầu tư vào startup công nghệ,10 - 20% (1 năm),12 - 25% (1 năm)
Đầu tư vào startup dịch vụ,8 - 15% (1 năm),15 - 25% (1 năm)
Đầu tư vào startup giáo dục,5 - 12% (1 năm),12 - 18% (1 năm)
Đầu tư vào startup y tế,10 - 20% (1 năm),15 - 25% (1 năm)
Đầu tư vào startup tài chính,8 - 15% (1 năm),12 - 18% (1 năm)
Đầu tư kim cương,10 - 20% (1 năm),15 - 25% (1 năm)
Đầu tư bạc,8 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư bạch kim,8 - 15% (1 năm),10 - 15% (1 năm)
Đầu tư đồng,6 - 12% (1 năm),10 - 15% (1 năm)
Đầu tư dầu mỏ,10 - 20% (1 năm),20 - 30% (1 năm)
Đầu tư cà phê,5 - 10% (1 năm),10 - 20% (1 năm)
Đầu tư lúa mì,6 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư cao su,7 - 12% (1 năm),10 - 18% (1 năm)
Đầu tư trái phiếu đô thị,6 - 12% (1 năm),8 - 15% (1 năm)
Đầu tư trái phiếu quốc tế,7 - 12% (1 năm),10 - 18% (1 năm)
Đầu tư quỹ môi trường,10 - 20% (1 năm),12 - 20% (1 năm)
Đầu tư quỹ esg,8 - 15% (1 năm),12 - 18% (1 năm)
Đầu tư cổ phiếu thị trường mới nổi,7 - 12% (1 năm),10 - 18% (1 năm)
Đầu tư cổ phiếu thị trường biên giới,5 - 10% (1 năm),8 - 15% (1 năm)
Đầu tư vàng vật chất,5 - 8% (1 năm),10 - 15% (1 năm)
Đầu tư vàng tài khoản,5 - 10% (1 năm),10 - 15% (1 năm)
Đầu tư quỹ etf sinh thái,6 - 12% (1 năm),12 - 20% (1 năm)
Đầu tư quỹ etf tài chính xanh,8 - 12% (1 năm),10 - 20% (1 năm)
Đầu tư vào thực tế ảo,15 - 30% (1 năm),20 - 40% (1 năm)
Đầu tư vào dược lý học,10 - 20% (1 năm),15 - 30% (1 năm)
